;Unnamed: 0;data;codice_spira;00:00-01:00;01:00-02:00;02:00-03:00;03:00-04:00;04:00-05:00;05:00-06:00;06:00-07:00;07:00-08:00;08:00-09:00;09:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00;19:00-20:00;20:00-21:00;21:00-22:00;22:00-23:00;23:00-24:00;id_uni;Livello;tipologia;codice;codice arco;codice via;Nome via;Nodo da;Nodo a;ordinanza;stato;codimpsem;direzione;angolo;longitudine;latitudine;geopoint;ID_univoco_stazione_spira;giorno settimana;edge_id
19603;48424;30/03/2024;2.19 2.19 8 1;256;157;117;87;70;161;230;380;580;830;1097;1183;1196;821;785;907;954;990;1059;880;647;492;401;365;788;1;spira;1132;4219;25430;VIALE M. KARAMCHAND GANDHI;16850;4568;4000/343434;A;399;;253;113.132.403.786.183;444.978.131.399.409;44.4978131399409, 11.3132403786183;428;Sabato;b2[1][0]
19604;48425;30/03/2024;2.19 2.20 8 1;256;164;97;69;67;145;223;392;546;862;1132;1266;1209;825;839;919;990;983;1049;980;711;520;435;390;359;1;spira;107;4231;58000;VIA TOLMINO;4680;4679;4000/343434;A;24;E;270;113.165.523.765.202;444.974.351.312.945;44.4974351312945, 11.3165523765202;429;Sabato;a71
19607;48432;30/03/2024;2.30 0.127 6 1;259;153;101;62;77;151;351;462;660;939;1172;1389;1315;993;886;885;1044;973;1080;1027;709;412;311;331;187;1;spira;579;9147;47900;VIA PRATI DI CAPRARA;13344;16937;4000/343434;A;16;N;341;113.095.630.279.905;445.058.710.102.678;44.5058710102678, 11.3095630279905;467;Sabato;b4[1][1][1]
19608;48433;30/03/2024;2.30 2.29 4 1;71;44;32;21;28;38;62;102;159;227;291;290;265;216;198;193;207;235;246;220;153;101;75;91;295;1;spira;35;6841;21400;VIA EMILIA PONENTE;14442;13345;4000/343434;A;16;NO;65;113.090.333.624.097;445.057.316.740.375;44.5057316740375, 11.3090333624097;468;Sabato;b10
19609;48434;30/03/2024;2.30 2.31 8 1;32;18;22;18;34;33;33;52;50;55;58;65;59;50;53;57;47;57;47;45;31;23;21;28;189;1;spira;581;5409;21400;VIA EMILIA PONENTE;13344;8807;4000/343434;A;16;E;247;113.096.947.184.232;445.054.053.954.154;44.5054053954154, 11.3096947184232;470;Sabato;b8
19610;48436;30/03/2024;2.31 2.82 2 1;44;18;14;12;16;23;42;72;125;200;274;266;275;214;182;178;226;214;202;176;144;78;53;42;204;1;spira;597;2642;36250;VIA MARZABOTTO;8785;4566;4000/343434;A;42;S;155;11.311.120.157.605;445.008.565.366.089;44.5008565366089, 11.311120157605;474;Sabato;b17[0]
19611;48437;30/03/2024;2.35 2.38 8 1;136;98;58;30;43;74;105;215;308;463;631;698;590;469;475;451;522;509;499;512;389;210;237;197;283;1;spira;23;8785;54950;VIALE ANTONIO SILVANI;16696;16702;4000/343434;A;21;NE;296;113.275.922.602.577;444.996.245.123.973;44.4996245123973, 11.3275922602577;485;Sabato;a204[1][1]
19612;48438;30/03/2024;2.82 2.18 2 1;74;31;24;13;15;27;54;111;163;279;376;354;345;269;238;233;289;295;293;232;163;95;72;68;636;1;spira;1008;4563;36250;VIA MARZABOTTO;8778;4568;4000/343434;A;25;S;149;11.309.913.896.272;444.992.572.264.694;44.4992572264694, 11.309913896272;507;Sabato;b20+19a
19691;48988;25/04/2024;0.127 2.32 10 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;944;2;spira;966;6839;52400;VIA AURELIO SAFFI;14440;15794;4000/343434;A;304;O;66;113.191.042.721.411;445.021.139.763.231;44.5021139763231, 11.3191042721411;58;Giovedì;b56[0]
19718;49256;26/04/2024;0.127 2.18 8 1;243;134;63;55;79;201;572;1364;1418;1600;1870;1983;1729;1456;1518;1639;1709;1668;1573;1422;1127;775;652;702;95;1;spira;75;2633;25430;VIALE M. KARAMCHAND GANDHI;8763;4568;4000/343434;A;25;E;250;113.086.826.273.458;444.990.522.268.361;44.4990522268361, 11.3086826273458;34;Venerdì;b2[1][1][1]b
19720;49259;26/04/2024;0.127 2.30 2 1;144;63;56;34;52;100;197;530;691;716;887;946;919;916;990;943;1115;1132;883;819;632;311;313;274;294;1;spira;34;9183;47900;VIA PRATI DI CAPRARA;16946;13345;4000/343434;A;16;S;161;113.094.463.610.492;445.059.291.474.411;44.5059291474411, 11.3094463610492;52;Venerdì;b4[1][1][1]
19761;49545;27/04/2024;0.127 2.32 10 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;944;2;spira;966;6839;52400;VIA AURELIO SAFFI;14440;15794;4000/343434;A;304;O;66;113.191.042.721.411;445.021.139.763.231;44.5021139763231, 11.3191042721411;58;Sabato;b56[0]
19775;49822;28/04/2024;0.127 2.32 10 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;944;2;spira;966;6839;52400;VIA AURELIO SAFFI;14440;15794;4000/343434;A;304;O;66;113.191.042.721.411;445.021.139.763.231;44.5021139763231, 11.3191042721411;58;Domenica;b56[0]
19776;49825;28/04/2024;0.127 2.73 6 1;79;72;55;26;17;19;24;57;102;173;272;296;280;400;308;217;212;246;242;317;182;129;98;80;202;1;spira;595;236;4450;VIA IRMA BANDIERA;15417;4598;4000/343434;A;41;N;338;113.124.430.502.643;444.916.097.902.182;44.4916097902182, 11.3124430502643;81;Domenica;a104
19815;50075;29/04/2024;0.127 2.5 4 1;9;8;3;2;1;4;21;106;182;143;127;153;150;146;110;100;160;161;197;176;121;65;38;23;589;1;spira;538;4229;29800;VIA ALESSANDRO GUIDOTTI;4663;4664;4000/343434;A;337;S;187;113.260.133.446.752;444.905.328.608.867;44.4905328608867, 11.3260133446752;70;Lunedì;a60
19820;50080;29/04/2024;0.127 2.10 10 2;29;13;13;7;10;20;65;140;188;153;135;117;130;140;122;127;143;147;169;125;116;54;45;43;918;2;spira;1096;8750;61550;VIALE GIOVANNI VICINI;16683;16679;4000/343434;A;338;SE;195;11.328.173.238.949;444.948.641.751.239;44.4948641751239, 11.328173238949;28;Lunedì;a201
19822;50085;29/04/2024;0.127 2.19 6 1;59;36;13;25;41;78;230;600;669;562;527;515;523;489;524;565;693;688;609;560;398;217;137;206;174;1;spira;565;343;39600;VIA MONTEFIORINO;4614;4680;4000/343434;A;24;N;337;113.160.137.227.682;444.972.742.515.867;44.4972742515867, 11.3160137227682;38;Lunedì;a11
19823;50087;29/04/2024;0.127 2.33 10 1;109;41;19;15;31;53;142;469;544;439;393;380;445;409;439;474;478;506;493;421;321;188;187;160;945;2;spira;1044;7235;34000;VIA INNOCENZO MALVASIA;14721;8839;4000/343434;A;19;SO;158;113.216.426.062.022;445.012.616.462.669;44.5012616462669, 11.3216426062022;61;Lunedì;b53
19824;50089;29/04/2024;0.127 2.73 6 1;46;19;8;11;15;28;73;284;296;236;259;289;270;173;192;264;287;269;245;247;243;93;84;157;202;1;spira;595;236;4450;VIA IRMA BANDIERA;15417;4598;4000/343434;A;41;N;338;113.124.430.502.643;444.916.097.902.182;44.4916097902182, 11.3124430502643;81;Lunedì;a104
19887;50190;29/04/2024;1.9 0.127 6 1;7;3;3;3;2;1;6;28;20;23;28;31;25;27;29;23;34;19;26;23;20;10;10;14;534;1;spira;515;2881;22100;VIA S.FELICE;13540;15635;4000/343434;A;294;NO;65;113.307.270.636.654;444.980.414.260.355;44.4980414260355, 11.3307270636654;394;Lunedì;a55
19893;50202;29/04/2024;2.10 2.21 6 1;131;59;30;31;41;74;238;1094;1149;945;892;875;841;851;1009;960;981;921;929;814;544;319;256;220;14;1;spira;95;7563;61550;VIALE GIOVANNI VICINI;16678;16693;4000/343434;A;338;NO;10;113.283.987.885.526;44.494.907.669.431;44.494907669431, 11.3283987885526;401;Lunedì;a201
19900;50209;29/04/2024;2.19 2.20 8 1;162;76;39;26;57;139;463;1432;1251;1133;1010;1010;1033;1045;1052;1080;1172;1240;1291;1087;816;454;361;254;359;1;spira;107;4231;58000;VIA TOLMINO;4680;4679;4000/343434;A;24;E;270;113.165.523.765.202;444.974.351.312.945;44.4974351312945, 11.3165523765202;429;Lunedì;a71
19901;50211;29/04/2024;2.21 2.10 6 1;177;94;52;19;46;104;430;1181;1382;1135;973;1008;986;1050;1082;984;1251;1327;1453;1178;911;466;355;257;354;1;spira;102;8751;61550;VIALE GIOVANNI VICINI;16682;16683;4000/343434;A;22;S;195;113.275.349.874.958;444.968.992.842.874;44.4968992842874, 11.3275349874958;442;Lunedì;a201
19907;50219;29/04/2024;2.30 2.29 4 1;39;20;10;11;17;35;79;115;191;250;247;196;245;243;233;241;276;283;255;261;177;103;55;80;295;1;spira;35;6841;21400;VIA EMILIA PONENTE;14442;13345;4000/343434;A;16;NO;65;113.090.333.624.097;445.057.316.740.375;44.5057316740375, 11.3090333624097;468;Lunedì;b10
19908;50220;29/04/2024;2.31 2.30 4 1;149;81;49;32;52;98;220;720;766;728;763;756;751;736;828;813;827;839;877;791;611;359;311;261;293;1;spira;33;2681;21400;VIA EMILIA PONENTE;8776;8780;4000/343434;A;300;O;66;113.133.986.552.922;445.041.992.237.176;44.5041992237176, 11.3133986552922;472;Lunedì;b76
19909;50221;29/04/2024;2.33 0.127 6 1;32;15;5;4;14;26;103;341;466;279;242;234;241;222;251;261;284;318;294;260;217;90;71;76;194;1;spira;587;7235;34000;VIA INNOCENZO MALVASIA;8839;14721;4000/343434;A;19;N;338;113.218.017.649.932;445.013.661.662.167;44.5013661662167, 11.3218017649932;477;Lunedì;b53
19910;50223;29/04/2024;2.35 1.9 2 1;67;26;11;11;31;50;101;238;316;338;277;310;285;236;280;295;321;307;357;313;221;124;107;87;286;1;spira;26;4615;22100;VIA S.FELICE;15231;15635;4000/343434;A;21;SE;245;113.278.724.580.295;444.989.805.631.524;44.4989805631524, 11.3278724580295;482;Lunedì;a55
19912;50225;29/04/2024;2.38 3.7 8 1;128;54;25;29;53;99;274;981;1170;858;787;739;755;765;830;817;898;880;882;657;521;360;227;236;72;1;spira;326;8781;54950;VIALE ANTONIO SILVANI;16695;16698;4000/343434;A;151;NE;307;11.330.518.010.785;445.010.668.033.697;44.5010668033697, 11.330518010785;491;Lunedì;a204[1][1]
19913;50226;29/04/2024;2.82 2.18 2 1;37;20;8;5;13;51;75;324;359;304;263;333;324;319;318;305;375;375;424;341;270;127;73;59;636;1;spira;1008;4563;36250;VIA MARZABOTTO;8778;4568;4000/343434;A;25;S;149;11.309.913.896.272;444.992.572.264.694;44.4992572264694, 11.309913896272;507;Lunedì;b20+19a
19914;50227;29/04/2024;2.82 2.19 8 1;12;9;5;5;2;13;34;194;189;123;104;97;111;121;115;153;217;216;201;163;97;31;28;32;172;1;spira;563;2748;44650;VIA PASUBIO;4565;4701;4000/343434;A;24;E;248;11.316.433.339.438;444.989.091.324.745;44.4989091324745, 11.316433339438;509;Lunedì;b37
19917;50231;29/04/2024;2.95 2.4 6 1;119;52;25;14;28;50;178;619;670;676;618;599;606;663;711;695;686;700;747;785;621;311;293;232;623;1;spira;956;304;52950;VIA SARAGOZZA;4657;4539;4000/343434;A;371;SO;109;113.208.167.613.095;444.896.143.680.428;44.4896143680428, 11.3208167613095;518;Lunedì;a195
20026;50378;30/04/2024;0.127 2.33 10 1;112;34;22;17;32;67;152;456;490;402;390;449;445;399;466;490;521;491;506;481;309;273;224;253;945;2;spira;1044;7235;34000;VIA INNOCENZO MALVASIA;14721;8839;4000/343434;A;19;SO;158;113.216.426.062.022;445.012.616.462.669;44.5012616462669, 11.3216426062022;61;Martedì;b53
20070;50507;30/04/2024;2.21 2.10 6 1;185;90;41;20;45;110;456;1222;1308;1145;1031;1087;1078;1033;1050;1167;1261;1438;1532;1317;1098;667;510;519;354;1;spira;102;8751;61550;VIALE GIOVANNI VICINI;16682;16683;4000/343434;A;22;S;195;113.275.349.874.958;444.968.992.842.874;44.4968992842874, 11.3275349874958;442;Martedì;a201
20174;50848;02/03/2024;0.127 2.5 4 1;25;21;13;7;6;5;17;36;84;144;140;143;185;141;93;109;91;123;129;116;126;73;54;54;589;1;spira;538;4229;29800;VIA ALESSANDRO GUIDOTTI;4663;4664;4000/343434;A;337;S;187;113.260.133.446.752;444.905.328.608.867;44.4905328608867, 11.3260133446752;70;Sabato;a60
20176;50855;02/03/2024;0.127 2.10 8 1;29;20;10;8;9;10;16;68;66;76;91;95;100;114;84;67;90;86;87;148;82;53;45;72;166;1;spira;553;954;51000;VIA FRANCESCO RONCATI;6039;6028;4000/343434;A;338;E;287;113.282.993.665.462;444.937.079.783.006;44.4937079783006, 11.3282993665462;26;Sabato;a117
20178;50860;02/03/2024;0.127 2.18 8 1;578;351;166;97;107;189;386;1069;1234;1421;1607;1748;1966;1441;1325;1528;1567;1597;1623;1681;1336;840;761;789;95;1;spira;75;2633;25430;VIALE M. KARAMCHAND GANDHI;8763;4568;4000/343434;A;25;E;250;113.086.826.273.458;444.990.522.268.361;44.4990522268361, 11.3086826273458;34;Sabato;b2[1][1][1]b
20179;50862;02/03/2024;0.127 2.18 10 2;12;9;2;2;1;5;16;16;34;49;59;80;51;41;42;63;40;53;50;34;27;22;10;17;941;2;spira;1148;2633;25430;VIALE M. KARAMCHAND GANDHI;8763;4568;4000/343434;A;25;;251;113.094.985.934.965;444.988.573.896.583;44.4988573896583, 11.3094985934965;37;Sabato;b20+19a
20180;50863;02/03/2024;0.127 2.19 6 1;180;91;56;39;51;62;110;240;367;516;592;591;599;531;464;529;488;487;508;495;340;207;173;304;174;1;spira;565;343;39600;VIA MONTEFIORINO;4614;4680;4000/343434;A;24;N;337;113.160.137.227.682;444.972.742.515.867;44.4972742515867, 11.3160137227682;38;Sabato;a11
20182;50865;02/03/2024;0.127 2.30 6 1;363;168;90;49;50;101;298;453;534;706;809;844;903;770;679;715;740;864;837;792;582;354;315;362;296;2;spira;36;5425;45190;VIALE SANDRO PERTINI;13354;13344;4000/343434;A;16;N;340;113.092.167.352.814;445.053.085.046.798;44.5053085046798, 11.3092167352814;53;Sabato;b4[1][1][0]
20183;50866;02/03/2024;0.127 2.31 2 1;12;8;5;2;1;8;14;39;79;83;116;111;147;135;85;75;68;77;94;81;66;25;18;18;192;1;spira;584;2742;41430;LARGO BARTOLO NIGRISOLI;8761;15769;4000/343434;A;301;S;155;113.156.346.572.437;445.039.426.162.009;44.5039426162009, 11.3156346572437;55;Sabato;b70
20184;50875;02/03/2024;0.127 2.73 6 1;85;57;35;33;13;21;42;123;204;249;303;318;277;253;195;243;266;249;277;209;191;135;113;234;202;1;spira;595;236;4450;VIA IRMA BANDIERA;15417;4598;4000/343434;A;41;N;338;113.124.430.502.643;444.916.097.902.182;44.4916097902182, 11.3124430502643;81;Sabato;a104
20254;50983;02/03/2024;2.3 2.8 6 1;47;35;11;14;2;8;21;64;112;145;207;223;224;160;110;144;149;124;131;128;127;74;69;112;161;1;spira;548;10163;19350;VIA PIETRO DE COUBERTIN;17301;4571;4000/343434;A;38;N;8;113.109.398.117.451;444.935.430.651.191;44.4935430651191, 11.3109398117451;465;Sabato;a78[0]
20258;50988;02/03/2024;2.8 2.3 2 1;31;11;6;5;3;8;25;79;118;133;178;181;187;143;111;135;147;167;129;138;121;59;55;76;510;1;spira;852;10163;19350;VIA PIETRO DE COUBERTIN;4571;17301;4000/343434;A;38;S;188;113.108.762.401.867;444.936.129.820.353;44.4936129820353, 11.3108762401867;506;Sabato;a78[0]
20259;50989;02/03/2024;2.9 2.10 8 1;193;119;66;49;46;61;134;305;333;564;608;642;774;592;502;563;581;505;583;646;437;357;310;396;163;1;spira;550;364;18000;VIA ANDREA COSTA;4621;4696;4000/343434;A;299;E;280;113.198.132.852.758;444.953.074.040.538;44.4953074040538, 11.3198132852758;515;Sabato;a20001+87[1][0]
20264;50995;02/03/2024;2.19 0.127 2 1;146;110;61;40;31;45;70;178;303;457;501;560;630;506;382;415;456;461;496;508;381;237;179;179;175;1;spira;566;343;39600;VIA MONTEFIORINO;4680;4614;4000/343434;A;24;S;157;113.159.062.928.132;444.973.287.210.753;44.4973287210753, 11.3159062928132;421;Sabato;a67
20265;50996;02/03/2024;2.19 2.19 6 1;101;49;30;17;12;36;71;211;252;319;376;462;514;384;295;315;347;361;351;338;280;143;109;180;176;1;spira;567;357;57650;VIA DEL TIMAVO;4680;4701;4000/343434;A;24;N;338;113.163.420.592.928;444.977.904.881.531;44.4977904881531, 11.3163420592928;426;Sabato;b38[0]
20266;50997;02/03/2024;2.20 2.40 8 1;367;237;108;67;57;102;202;643;753;836;966;1114;1276;927;843;964;1062;1042;1126;1178;897;580;469;469;273;1;spira;10;9667;52300;VIA SABOTINO;17116;4724;4000/343434;A;23;E;270;113.213.155.857.597;444.971.637.930.601;44.4971637930601, 11.3213155857597;441;Sabato;a161
20272;51003;02/03/2024;2.30 0.127 6 1;513;262;140;78;74;151;398;661;849;1042;1278;1139;1332;1177;1043;1067;1109;1182;1183;1181;894;509;457;525;187;1;spira;579;9147;47900;VIA PRATI DI CAPRARA;13344;16937;4000/343434;A;16;N;341;113.095.630.279.905;445.058.710.102.678;44.5058710102678, 11.3095630279905;467;Sabato;b4[1][1][1]
20273;51004;02/03/2024;2.30 2.31 8 1;37;26;13;13;26;27;36;52;59;65;56;62;65;46;55;54;47;40;45;47;35;27;33;31;189;1;spira;581;5409;21400;VIA EMILIA PONENTE;13344;8807;4000/343434;A;16;E;247;113.096.947.184.232;445.054.053.954.154;44.5054053954154, 11.3096947184232;470;Sabato;b8
20275;51009;02/03/2024;2.82 2.31 6 1;24;10;7;5;3;10;39;64;87;139;144;168;146;118;104;104;132;152;135;123;74;44;32;43;190;1;spira;582;4568;36250;VIA MARZABOTTO;8777;8776;4000/343434;A;300;N;335;113.133.096.525.433;445.038.846.559.691;44.5038846559691, 11.3133096525433;510;Sabato;b17[1]
20383;51422;13/03/2024;2.8 2.3 2 1;13;0;0;1;3;5;29;173;251;155;137;123;137;120;137;150;151;225;263;188;106;65;44;40;510;1;spira;852;10163;19350;VIA PIETRO DE COUBERTIN;4571;17301;4000/343434;A;38;S;188;113.108.762.401.867;444.936.129.820.353;44.4936129820353, 11.3108762401867;506;Mercoledì;a78[0]
20384;51424;13/03/2024;2.10 1.11 4 1;57;29;16;10;15;36;140;351;541;547;348;302;325;328;340;317;346;390;396;372;333;195;141;152;262;1;spira;857;8713;30500;PIAZZA DI PORTA S.ISAIA;16678;56;4000/343434;A;338;E;256;11.328.674.717.615;44.494.620.361.561;44.494620361561, 11.328674717615;400;Mercoledì;a134
20385;51425;13/03/2024;2.10 2.21 6 1;139;65;33;23;38;78;281;1171;1490;1133;908;838;925;950;955;857;880;991;998;903;658;340;258;377;14;1;spira;95;7563;61550;VIALE GIOVANNI VICINI;16678;16693;4000/343434;A;338;NO;10;113.283.987.885.526;44.494.907.669.431;44.494907669431, 11.3283987885526;401;Mercoledì;a201
20388;51443;13/03/2024;2.31 2.82 2 1;30;8;3;2;5;26;50;175;260;158;187;271;226;233;213;226;270;298;300;272;154;75;49;52;204;1;spira;597;2642;36250;VIA MARZABOTTO;8785;4566;4000/343434;A;42;S;155;11.311.120.157.605;445.008.565.366.089;44.5008565366089, 11.311120157605;474;Mercoledì;b17[0]
20390;51449;13/03/2024;2.38 3.7 8 1;127;50;33;31;48;87;254;1003;1220;1005;707;728;733;716;813;780;845;917;915;810;592;305;220;229;72;1;spira;326;8781;54950;VIALE ANTONIO SILVANI;16695;16698;4000/343434;A;151;NE;307;11.330.518.010.785;445.010.668.033.697;44.5010668033697, 11.330518010785;491;Mercoledì;a204[1][1]
20441;51590;14/03/2024;0.127 2.18 10 2;11;2;2;4;1;6;17;35;24;52;56;51;51;39;45;51;78;49;47;34;59;22;11;11;941;2;spira;1148;2633;25430;VIALE M. KARAMCHAND GANDHI;8763;4568;4000/343434;A;25;;251;113.094.985.934.965;444.988.573.896.583;44.4988573896583, 11.3094985934965;37;Giovedì;b20+19a
20442;51591;14/03/2024;0.127 2.20 2 1;81;50;15;8;14;50;99;401;474;369;372;335;339;381;427;431;547;528;485;458;351;192;161;162;178;1;spira;570;7243;62250;VIA VITTORIO VENETO;14727;4677;4000/343434;A;23;S;156;113.190.584.470.408;444.973.300.969.747;44.4973300969747, 11.3190584470408;40;Giovedì;a181
20444;51594;14/03/2024;0.127 2.30 2 1;181;65;43;36;53;146;301;853;1050;872;827;864;883;914;965;1109;1151;1208;1249;964;684;449;366;324;294;1;spira;34;9183;47900;VIA PRATI DI CAPRARA;16946;13345;4000/343434;A;16;S;161;113.094.463.610.492;445.059.291.474.411;44.5059291474411, 11.3094463610492;52;Giovedì;b4[1][1][1]
20523;51715;14/03/2024;2.3 2.8 6 1;20;8;9;2;2;9;42;210;328;223;144;165;157;166;173;176;228;243;215;213;172;67;61;89;161;1;spira;548;10163;19350;VIA PIETRO DE COUBERTIN;17301;4571;4000/343434;A;38;N;8;113.109.398.117.451;444.935.430.651.191;44.4935430651191, 11.3109398117451;465;Giovedì;a78[0]
20527;51719;14/03/2024;2.10 2.6 6 1;265;99;41;41;60;138;468;1381;1472;1358;1065;1131;1274;1267;1322;1227;1361;1575;1636;1481;1132;566;508;541;15;1;spira;96;947;44950;VIALE CARLO PEPOLI;16679;6028;4000/343434;A;338;SE;195;113.283.224.582.864;444.944.770.870.484;44.4944770870484, 11.3283224582864;402;Giovedì;a43[1]
20532;51727;14/03/2024;2.19 0.127 2 1;99;27;12;9;18;47;85;312;468;489;428;417;467;487;447;455;563;719;775;725;453;212;209;198;175;1;spira;566;343;39600;VIA MONTEFIORINO;4680;4614;4000/343434;A;24;S;157;113.159.062.928.132;444.973.287.210.753;44.4973287210753, 11.3159062928132;421;Giovedì;a67
20533;51728;14/03/2024;2.19 2.19 2 1;36;12;7;2;11;30;48;303;555;267;200;193;215;235;273;251;323;423;422;320;174;87;67;80;360;1;spira;108;357;57650;VIA DEL TIMAVO;4701;4680;4000/343434;A;24;S;160;113.167.288.638.096;44.498.596.866.165;44.498596866165, 11.3167288638096;424;Giovedì;b38[0]a
20534;51729;14/03/2024;2.19 2.19 4 1;121;52;20;24;55;96;234;795;1155;678;548;578;591;605;712;673;856;844;770;677;492;258;188;296;361;1;spira;109;358;58000;VIA TOLMINO;4680;16850;4000/343434;A;24;O;90;113.156.919.816.636;444.975.833.129.702;44.4975833129702, 11.3156919816636;425;Giovedì;b2[0]
20535;51730;14/03/2024;2.19 2.19 6 1;65;20;5;6;15;38;145;474;604;485;351;351;404;380;394;412;444;539;470;399;330;165;131;130;176;1;spira;567;357;57650;VIA DEL TIMAVO;4680;4701;4000/343434;A;24;N;338;113.163.420.592.928;444.977.904.881.531;44.4977904881531, 11.3163420592928;426;Giovedì;b38[0]
20538;51736;14/03/2024;2.30 2.29 4 1;65;19;8;8;16;45;84;168;215;247;259;273;267;232;241;239;262;295;246;242;185;105;103;88;295;1;spira;35;6841;21400;VIA EMILIA PONENTE;14442;13345;4000/343434;A;16;NO;65;113.090.333.624.097;445.057.316.740.375;44.5057316740375, 11.3090333624097;468;Giovedì;b10
20539;51738;14/03/2024;2.33 0.127 2 1;89;28;17;9;7;29;66;261;434;259;259;253;265;288;325;378;405;446;455;401;243;135;136;152;290;1;spira;30;2729;62250;VIA VITTORIO VENETO;8839;8814;4000/343434;A;19;SO;155;113.215.190.419.811;445.010.742.719.742;44.5010742719742, 11.3215190419811;476;Giovedì;b55
20541;51741;14/03/2024;2.40 2.21 8 1;254;91;38;46;78;184;552;1688;1882;1582;1125;1122;1192;1156;1345;1164;1323;1554;1614;1574;1116;551;440;401;659;1;spira;1083;391;52300;VIA SABOTINO;15767;4727;4000/343434;A;393;E;269;113.237.550.845.001;444.970.385.266.486;44.4970385266486, 11.3237550845001;495;Giovedì;a122
20641;51876;15/03/2024;0.127 2.5 4 1;15;15;2;3;2;7;31;127;183;152;132;166;159;145;132;152;166;166;218;193;135;66;57;68;589;1;spira;538;4229;29800;VIA ALESSANDRO GUIDOTTI;4663;4664;4000/343434;A;337;S;187;113.260.133.446.752;444.905.328.608.867;44.4905328608867, 11.3260133446752;70;Venerdì;a60
20643;51880;15/03/2024;0.127 2.9 6 1;18;5;6;4;2;3;11;46;98;79;85;83;68;73;61;79;104;125;119;69;54;34;23;25;162;1;spira;549;3776;60200;VIA LUIGI VALERIANI;13075;4621;4000/343434;A;299;N;342;113.195.970.141.409;444.951.731.390.054;44.4951731390054, 11.3195970141409;99;Venerdì;a153
20644;51881;15/03/2024;0.127 2.10 8 1;18;7;6;4;3;9;24;149;176;97;108;88;121;77;94;114;114;104;97;121;76;43;39;57;166;1;spira;553;954;51000;VIA FRANCESCO RONCATI;6039;6028;4000/343434;A;338;E;287;113.282.993.665.462;444.937.079.783.006;44.4937079783006, 11.3282993665462;26;Venerdì;a117
20645;51882;15/03/2024;0.127 2.18 6 1;0;1;2;2;0;0;7;29;28;69;91;112;120;81;88;66;87;95;58;46;34;14;15;14;170;1;spira;561;10272;62160;LARGO VITTIME LAGER NAZISTI;17338;4568;4000/343434;A;25;NE;309;113.093.473.331.418;444.985.350.861.187;44.4985350861187, 11.3093473331418;33;Venerdì;b22[1]
20646;51883;15/03/2024;0.127 2.18 10 1;0;0;1;1;0;0;5;18;25;32;36;35;28;18;21;26;36;27;14;9;16;6;5;15;940;2;spira;1150;4219;25430;VIALE M. KARAMCHAND GANDHI;16850;4568;4000/343434;A;25;;71;113.098.586.466.771;444.988.392.708.548;44.4988392708548, 11.3098586466771;36;Venerdì;b2[1][1][0]
20647;51887;15/03/2024;0.127 2.33 2 1;131;63;28;18;27;61;224;659;827;615;562;584;604;689;743;797;859;927;771;704;539;306;331;396;288;1;spira;28;7235;34000;VIA INNOCENZO MALVASIA;14721;8839;4000/343434;A;19;S;160;113.217.226.486.705;445.013.990.198.351;44.5013990198351, 11.3217226486705;59;Venerdì;b53
20648;51888;15/03/2024;0.127 2.33 10 1;116;63;30;17;28;60;175;458;437;432;395;403;414;462;499;530;559;616;508;465;315;229;240;289;945;2;spira;1044;7235;34000;VIA INNOCENZO MALVASIA;14721;8839;4000/343434;A;19;SO;158;113.216.426.062.022;445.012.616.462.669;44.5012616462669, 11.3216426062022;61;Venerdì;b53
20735;51992;15/03/2024;2.3 2.8 6 1;29;4;6;2;3;10;39;192;304;193;161;166;165;206;188;173;225;258;217;174;160;60;75;128;161;1;spira;548;10163;19350;VIA PIETRO DE COUBERTIN;17301;4571;4000/343434;A;38;N;8;113.109.398.117.451;444.935.430.651.191;44.4935430651191, 11.3109398117451;465;Venerdì;a78[0]
20737;51995;15/03/2024;2.9 2.20 6 1;22;4;6;2;4;6;11;124;177;82;69;48;74;60;69;59;70;80;85;88;64;48;32;24;164;1;spira;551;7291;18600;VIA DELLA CROCETTA;4678;14760;4000/343434;A;298;N;354;113.184.727.885.428;444.953.746.950.273;44.4953746950273, 11.3184727885428;516;Venerdì;a191
20738;51996;15/03/2024;2.10 2.21 6 1;192;87;58;34;47;86;244;1073;1332;1055;933;921;849;1026;976;889;1057;1033;986;1051;704;403;348;424;14;1;spira;95;7563;61550;VIALE GIOVANNI VICINI;16678;16693;4000/343434;A;338;NO;10;113.283.987.885.526;44.494.907.669.431;44.494907669431, 11.3283987885526;401;Venerdì;a201
20742;52002;15/03/2024;2.19 2.19 6 1;53;26;9;9;13;43;143;524;523;510;377;359;413;386;405;405;469;533;523;477;322;171;129;173;176;1;spira;567;357;57650;VIA DEL TIMAVO;4680;4701;4000/343434;A;24;N;338;113.163.420.592.928;444.977.904.881.531;44.4977904881531, 11.3163420592928;426;Venerdì;b38[0]
